cbg,cost,H_Area_of_store,R_Percentage_of_Visits_by_brand,J_POI_count_where_store_is,K_POI_diversity_where_store_is,L_Demographic_similarity,G_Distance_between_cbg_and_store
360050002001,0.03892003957717116,5.0589402610979715,9.790551364062,7.939174769765209,2.36507811667175,2.150731537542879,14.095171429545672
360050002002,0.09546699079735821,4.395562462006748,14.224387188296692,1.7996871513603792,3.7466263620507707,7.7969986097309105,14.822893450701425
360050002003,0.0946698617844296,2.4833896740177357,6.643717292542071,2.9168225820733427,2.2101745249512326,5.1888199366067695,10.359827845541664
360050004001,0.09327454254022771,6.340352395449022,10.132167639484116,5.301113378114649,9.30449745885257,3.887491801714798,13.566130125104618
360050004002,0.15749516371366235,5.9873194862758465,13.065567689696419,3.5827441782868243,1.2862953284495138,11.460887497610019,14.05747977279773
360050004003,0.3482813988787892,2.1577273030211686,3.626502713901303,3.027484577690286,1.5955329360879507,9.922310958930247,12.872544958490113
360050004004,0.4381666711268346,9.303974926820226,8.521627832490534,2.205912545671481,2.780941015846711,1.3892152846795063,14.397642614875792
360050016002,0.1759318912837009,3.4737647427900145,3.9704860113557494,2.7954543498086513,5.25995245768808,1.4065043820256378,13.499938433333746
360050016003,0.18650404237225726,1.887937694889402,12.210456179765874,2.3025368510176234,2.6883704419041656,1.643517270898152,10.651250191492556
360050016004,0.3460652413292744,5.528980639563606,14.752174013518532,2.2482053082060727,3.1299331152041554,6.838394677356232,14.708600284408513
360050019003,0.09189018531505466,7.7732082162672995,10.817896340053798,4.967160926748043,12.229789129624677,7.395246819117554,8.616691595993444
360050020001,0.3192330257970175,3.0443388840788916,4.105579648027117,1.3670646414526253,12.009903317379896,1.284108424072377,12.210989746797544
360050020002,0.21349448294740414,4.329217089974971,4.0658692573417925,2.220819553239023,3.7416047074601213,3.2673628129124976,11.862295967904878
360050020003,0.2789543425640342,2.5386832908214743,5.09551361243115,1.1619033528665481,11.922137016445543,1.1952196545439975,13.61077848993356
360050020004,0.2604317719698458,1.9303832459287258,4.868374232617014,5.353013101409443,7.003422506071975,10.249698964252225,14.483595209732357
360050020005,0.30356863416259683,2.835509696609301,9.661971693314872,2.6241671805730356,1.9525893665686487,7.922967404098539,11.873195913550996
360050020006,0.5863453718259273,4.469045791086753,4.924033776816548,1.4787787442360303,12.056512594892864,2.1004385265478303,8.217329340125694
360050023001,0.04807550185415099,3.8825308023593004,7.1163791198249635,4.750459494753441,9.666868536757018,7.826101802988395,6.759428733597671
360050023002,0.2004080942499623,1.6382413033845538,8.00126591663956,6.323703465365404,10.604914105371188,1.5709715193855196,9.749236609903251
360050023003,0.20945064265814028,4.338224796636834,14.718829184063619,4.543235316648316,8.087898080111229,4.072663359560235,6.635297869445637
360050025001,0.19817209202287156,4.465303367451095,12.241471905883607,5.195028899776432,3.6112775964399013,2.48071570851617,11.843577302047493
360050025002,0.13869762847253897,4.153984957505665,5.935376283858501,4.395870856693492,14.225636168969837,5.559810693670139,7.601088268838307
360050025003,0.203415034232431,3.7742493992916835,4.441426462359525,4.674933843818305,1.9674072340263615,13.012157515953366,9.2192280829831
360050025004,0.2174966091471806,5.599861654382526,6.57609710492247,4.573016278392494,10.800431223761715,6.435169587110468,11.99070127018523
360050025005,0.0943035875551721,1.142571805912901,6.192584978227487,3.6694789000746546,5.661318066854325,9.918394411995902,14.204431521745128
360050027011,0.01952759761750633,4.495358548946285,5.188000434538861,3.3715453166272633,1.4101269676282513,7.649435675090022,5.315892967536662
360050027012,0.09564676071246503,7.94794569784975,6.10858007763378,5.504309911664061,5.634695306126157,5.354177886080321,9.745608381913241
360050027021,0.15299766907220336,1.5825910062140083,2.793852096181041,5.008600494616097,2.211476682303682,14.201290561050149,8.310760893034463
360050027022,0.032299653712942966,3.219524807135837,8.430264360988488,4.257970728480009,7.684746953529574,8.124217654935954,7.05492640793448
360050027023,0.038340218994862396,6.027901231438244,5.151918664759144,3.4124761458898814,12.532505394928515,11.705308050451851,8.490270214230506
360050027024,0.11986444427750687,3.807617783127605,6.535024857119897,2.0405525377323075,11.26411063399966,13.06592751262431,5.6512408707276975
360050028001,0.14665254908940017,2.141004358822963,1.3819610597028884,2.267465566976483,2.1037629893830356,6.385835899548102,12.33895705355394
360050028002,0.2812513105989066,6.687813330740782,9.344617386211285,3.7914364073362004,13.889517135271616,11.615744388817692,12.640561697023077
360050028003,0.1532883590170303,1.6792956121159541,1.3503866424699105,1.4906921341333512,11.201184562050045,9.35848298688396,14.91940810591553
360050028004,0.12036964152126939,4.191026710995054,5.893393746268089,4.889239953494215,5.84950372278522,5.579893124612939,9.531825024403572
360050031001,0.02375208712736565,1.8352528326211353,8.535136373917531,1.500531644162669,2.989273763408329,13.77626720160203,14.94179072480867
360050033001,0.5033286267810342,1.2211039352405209,2.2529792450374395,3.090474022880489,8.776173786993326,10.19427417538538,8.371719108334393
360050033002,0.21329834095264144,1.5704768189552407,2.9848646391671423,5.841021162908428,1.2474760745234974,9.199090467768091,11.758382765942901
360050033003,0.2886825774614654,3.9084109762056407,5.776449929427386,5.021719353558614,11.662364228616191,8.517140463782576,10.79965070437545
360050035001,0.12177990189408561,3.704228802414124,2.644725941223264,2.6451547165581335,1.2486939629807852,3.661000118217234,14.136816253784238
360050035002,0.02377531310561387,12.691678009681713,8.947187049229802,3.213222027782839,7.349705721303836,12.287336605665852,12.865715324431362
360050035003,0.02225159024855905,2.751548814661874,2.1533010063843414,1.4378046487248688,4.878741297599625,8.907130066817238,10.729429234917834
360050038001,0.5944898026199776,2.9255792494157333,8.553225645485298,1.5067053506907948,3.1232692606001375,5.298076070819995,9.263732486967019
360050039001,0.17238100103684417,7.136040648431393,8.62494676508729,4.098179927169106,8.872200795262827,9.584674433027706,9.935332786164933
360050039002,0.1452691897855225,3.134133221622344,9.72552265915563,9.178951815033365,11.577714787866292,12.467217868122553,11.708181830094443
360050039003,0.0647361114017092,6.220026396503153,9.981151103388557,4.248531997711398,6.960598410886373,9.157669900774472,7.397225325317644
360050039004,0.15134743754436064,2.267422313140754,3.349459703345099,4.953953945212458,1.4068470874028094,8.184575417488503,14.012069438228359
360050040011,0.43438943298647514,4.03557300845841,2.474980225603219,1.3221578682697905,6.087102480953613,1.2304397938437432,10.901079897401427
360050041001,0.39997254605047516,1.8136671056090072,3.8400927665941587,4.411314441631364,1.6572323437039642,14.045625551789499,8.740531947839848
360050041002,0.26116819184894513,5.137811339635272,10.01141959710371,3.607578296812166,5.797246900521584,12.936328452993656,12.243586875753643
360050041004,0.19171501063460272,1.3263694854222883,10.158022783035912,3.69630535714976,11.041743072968234,7.981662555525062,14.913618863905482
360050042001,0.4640946762996161,7.424420995561714,12.663730074647438,2.8827479235961753,2.6081771718308113,14.15350176970598,11.962693517630626
360050042002,0.2604929788112653,7.828629328154735,14.554076035885053,1.1800986195924135,2.5478634745819306,12.10863298159815,11.25819760516604
360050042003,0.5051792411811372,8.051789077584182,5.407622668175662,2.7260065009862586,9.791579015688507,1.1836693831818508,13.57265762587221
360050042004,0.2123166077207681,7.069936247037308,3.780499778529112,1.0303975950583772,1.70466264528228,2.3014991510943545,13.232137805522243
360050042007,0.37414880507220005,4.648916913643012,11.02608565401783,1.2596569941595916,1.774223549805349,9.750244247229624,8.987422142700972
360050043001,0.2719163064476996,4.812236975144048,12.63895598185626,1.4763798252400935,2.0324726373227366,14.449080484240108,14.612830500360163
360050043002,0.37138798796236805,4.023241716894319,8.226798543270299,2.663898792109536,5.85216341119698,5.747276427865856,10.835572226101183
360050043003,0.3510189202910947,1.593545049245563,2.301450397063049,1.0438641892138312,13.523201246458958,6.487786793903924,7.564770472772189
360050043004,0.42162958228422964,8.262487536695396,12.600961736649367,5.950806149848442,11.775132917593027,10.305230947068837,11.36656422543202
360050044001,0.672009403381469,2.9567752908864335,6.837503733518967,1.0617830154719217,4.520693153330443,9.052923937917662,7.436622776592917
360050044002,0.4420557347932047,5.407104480095534,12.298263397420286,2.7807355781028003,9.664288702204846,12.39495535051949,12.628539187660232
360050044003,0.27511309357842995,3.053520729360052,6.470102170664465,1.1606111552046485,6.496012795718514,1.201975079545555,10.165863240297782
360050044004,0.544055369950148,3.871630100259978,13.567235257096776,1.5978160642487467,1.1942422677207745,2.563429574142681,14.878425422904801
360050046001,0.18933321393415825,4.75799871119058,10.290705305467018,1.0361568751598682,1.3539067438082317,2.2261670512532703,9.893526778512886
360050048001,0.3903818660042073,2.743310803564293,3.6563579815276057,4.167648277260026,3.4759081478080063,5.85365339014188,13.34096790670349
360050048002,0.2663738418591548,2.1553123239026277,9.542539266122674,1.6894816850882393,2.4335846313274274,9.429870213971368,12.640662024987463
360050050011,0.294100287016946,3.1435796011910426,3.9945034542047955,4.057402689483086,6.56983426794,11.208489979175372,9.713694835535312
360050050012,0.20247562202380542,4.871527372836264,3.387764602792913,4.0242081390633535,3.748413917754143,9.188928858415789,12.347400358993283
360050050013,0.22136281233864485,5.898417166695641,8.792142356748139,2.222887829358326,14.328028545774995,8.962618418279861,9.70724250277528
360050050014,0.3607878604348539,1.9516686588705277,12.327919623385883,1.1165685403916559,3.432433576671997,14.956519723231997,11.16167773333944
360050050021,0.2406858221726801,10.403712633408666,12.703405218841969,2.4683809560945256,11.382197528422806,8.479672678966622,13.221960626049409
360050050022,0.4284575377312779,1.4257083063732807,3.967903172437568,5.887626779253782,4.387705344177677,3.480765677273137,12.750531301219205
360050050023,0.26057419669751236,2.939743088376426,9.839247967852442,2.006754392379868,6.088481700890389,5.433886118064053,12.53255826234317
360050050024,0.205184643384555,5.571022171017434,6.479411228589473,2.4300799126465193,14.980490258976555,14.206790866045175,14.517296218592907
360050051003,0.021523195488020286,2.4088325446143166,8.437791103401496,1.5163947559009419,6.419031368821777,11.749359222542964,14.852991904781014
360050052001,0.8351997302871721,8.71792468312727,5.17606396744631,3.6958759097800398,13.910482952543358,3.315376131312073,13.237541225597528
360050052002,0.5976422908511947,1.2274580377040816,3.5541909654233423,1.7012525581137279,4.710269885262479,3.369994133712828,7.3886996971751335
360050053001,0.20226886300040148,13.262275436712407,13.614877847061253,2.646460647375055,5.084275618604172,5.465354579524691,10.260362352834896
360050053002,0.2969709292012811,3.1284196804208264,8.914992403824728,1.53581423433228,6.87262380367757,2.057111742945601,13.991189956335404
360050054001,0.23882279192425993,2.278246443858518,10.371929190825664,1.9099045397413104,13.409526854675171,10.753968587257567,11.865712863255629
360050054002,0.12824485590161394,2.825425360365897,2.8233356335204496,3.544959392280164,12.329468758374269,9.200249950104114,9.56702426144723
360050054003,0.36307116551977725,4.8646089063046585,5.138936453960934,2.6589595919770224,11.652411583468517,13.255468880299663,13.711676576790726
360050054004,0.37599394563347066,7.4111155445070125,8.834662452787118,4.634308539049128,10.17242340709645,10.96701236992298,14.054639965647224
360050056001,0.21406735460263893,2.477135782527742,1.9333230111453101,2.0412455982364985,13.986152277779652,8.56775554633176,9.594638674291504
360050056002,0.30505686335811943,2.6363870231268365,9.969943106867735,3.2095987798224326,7.4095140548727345,9.795976856987872,12.778383730177138
360050056003,0.31112886444838217,2.403351960387056,1.080214278375454,1.1459737423979774,7.576432171878952,5.026805410257593,8.530648274741253
360050059021,0.412568726461335,2.6221472224599722,1.242807354150921,1.4331163938820275,10.346705137270906,10.768262518564294,6.330272514970366
360050059022,0.26549797269748376,1.4687437027226835,1.6118146523326278,1.1091452898066603,3.9033471775232,10.722114273829646,10.198486663511247
360050060001,0.2755019134183535,2.817119963757403,9.475492967660728,5.320603971946483,11.689006402091213,8.86652965354348,14.695169965773072
360050061001,0.6316212743072782,7.652502563227518,10.112178371010566,1.2418281290141917,9.998102346428027,8.976563970363335,4.21036618209331
360050061002,0.16868235395649478,1.4079374045577344,9.955815518791997,1.1333833559266182,3.377689889496886,4.1066322006238485,2.6200875537823247
360050062001,0.40306602844176587,2.956341937381214,6.359240565256801,1.5205193789297873,9.87214200651654,1.118058887040526,10.796088323893208
360050062002,0.1931541367556744,8.222799456753997,6.620457761982195,1.2671284299914005,3.1300778975257773,5.224256243790252,11.514900196616384
360050062003,0.1928579895985153,1.7644914646990184,1.0871595791943331,3.0424102984873933,2.2619851243363778,6.097134369447482,12.233921032899495
360050062004,0.713187453539623,10.251361585517738,5.740842132714668,1.4079925154998492,6.965852748218701,7.574001387216587,13.482653383368081
360050062005,0.23824006530459496,4.248407138409888,10.87925120635881,1.871669232396692,1.150734492980246,12.387311425889925,13.020114165258242
360050063003,0.4215346520861748,1.6903584146725008,7.749348063387311,1.8075648381783256,8.394995856624256,5.410038337938885,14.577135546319798
360050063004,0.34528123051164616,2.4588848440131605,1.3813832658730796,2.4540534866156,7.204403817615868,9.508053006505438,4.737481004126849
360050063005,0.12835612445291045,1.8232270056528126,1.247067334288415,2.6040213715571925,8.685965069716106,5.746077246525165,7.822654207477445
360050063006,0.2035049711625575,2.312249128788804,1.5324033605286775,6.652372378182441,5.145574529105938,13.85475504293149,10.137618040395054
360050064001,0.49593587875798706,1.9054193719481538,13.698353783027908,1.3087594192960337,4.215849985601021,14.494204597661241,11.030579675864697
360050064002,0.5725048055159125,12.048320568257923,3.0889246210953516,3.138258973886991,6.545736386814873,4.160966427008795,14.613120069391032
360050064003,0.652015812267873,4.971085868832628,12.807993892670808,1.0070806431339605,8.893753428581313,4.847351173687162,9.27174479333726
360050064004,0.5581733796325148,2.1107733803736863,10.805609086635428,1.930609109533001,1.296094527359772,1.6385981724898322,11.72964343850957
360050065001,0.08677830215220872,5.585798913132017,10.096692096541208,5.106202367795173,5.817377833958151,10.901023414390174,14.097094442534477
360050065002,0.1057738841400353,1.7490628192312052,6.005209496488294,2.3416304565873154,5.796531210840634,4.4406272831562426,6.464917973459492
360050065003,0.17458850080674726,6.390059535533498,14.7500991732979,3.319273446279271,4.823030643710792,2.872860447637126,8.881288654959803
360050065004,0.16393939916161226,1.6978978032191918,7.504345698158407,3.3139529725177073,10.090328205071629,12.651596519255321,13.470885704423942
360050067001,0.29578838796412155,2.1218183930632373,11.119870526620929,2.696394277086027,1.286763439580639,1.0762553543249833,12.3197052254758
360050067002,0.2591739410330569,2.257405107846499,14.431545317157012,4.582914674248318,4.57397690749199,4.225893886201918,14.093893630890491
360050067003,0.523851722173196,1.0392247001318626,9.912452338717008,2.619602434099439,3.6238881294683374,11.013405231516092,10.431815687781164
360050067005,0.38511894453830486,2.8747973738768193,8.67657114924474,2.222076767181221,1.808212887364605,3.3069085644705343,6.798040520820731
360050067006,0.34338262298064426,1.2980628936848002,11.891305117038321,1.4138081055468432,10.518207157195448,7.896150895958941,13.05870598554026
360050068001,0.47796445708144475,1.9700918207655125,12.298795372985282,1.5612551450859569,1.5205039758059264,14.663195883437346,13.944607034618393
360050068003,0.6405506161798941,8.589294708504216,12.467199782870779,1.375538829731152,1.2627496972447982,5.456989334228861,7.029348974252331
360050069001,0.31976993677052745,2.7615502379876133,9.641759984622656,2.2649046468997973,3.9284012662737027,6.256516079026093,10.335621167735717
360050069002,0.35524668644625645,2.014775808350093,4.433572017880803,1.702713904035635,1.5969011058830773,8.604056559970294,6.852432705244952
360050069003,0.5791109803606278,2.7772138623577405,1.0024065617899325,1.7034978913288228,11.457148023282567,4.04512714576634,8.026911455980489
360050069004,0.4998956621424526,1.4108864996578694,14.010062225639146,2.6273093936194756,8.268434633759966,4.886887855269157,14.279419308769961
360050070002,0.39999876103616305,3.6655817269150317,11.921928734763345,2.0669537131922198,3.628045144609863,6.846489350397079,12.707626830659894
360050070003,0.2671458642944965,4.528231313589812,12.166536437207963,1.5578894107600365,4.215980452791786,1.6652943458166316,13.89809909729884
360050071001,0.03447502162078975,1.4075002228012554,7.689431623010307,1.6048549224384203,12.41234078918179,6.730719892618616,14.997882734627517
360050071002,0.2317655053920049,1.3858602148700645,7.588123595709924,6.664998542794479,4.950312288208566,8.073620274746595,14.661442830281601
360050072001,0.28921773821514807,2.983213219007652,6.469858608349799,3.224173179698024,2.1607463728257374,4.9860415905164555,12.944872069078706
360050072002,0.28757133320480677,4.48374753300739,13.320058584722577,1.7096419826118103,1.9239650103343342,8.63963646239392,10.426776194590248
360050072003,0.2230977930213075,3.5537454859582382,4.425453212427767,3.581990785439313,1.449592414254168,14.894269707365709,13.851179792419508
360050072004,0.5893526547644017,3.454630190169798,3.31728143432807,1.7900134001298942,14.46835730946831,1.6547070779313113,7.29467898311704
360050073002,0.0632088675013649,5.763284370265013,4.91738715545506,1.2199412041705955,1.0378746073557776,3.6428963589411936,10.724833868426536
360050073003,0.056058536595101294,6.315333809045319,6.214533409072335,4.175779263563259,1.211233122064444,6.464862065377407,14.631168964120766
360050074001,0.5041180374374543,2.4813951644267385,5.509713158963949,2.335565778011431,1.9244097778259626,7.102612073806467,12.23357180405836
360050074002,0.10205107356823406,1.3617022417814537,10.519103268250987,4.756481336478159,7.948216782016918,5.290057795545275,13.849244499668936
360050074003,0.11776421346182497,9.567002668323678,12.713935100229614,1.7278648695058973,1.5435273046753337,1.1774416836183388,11.479951534940078
360050075001,0.04118548952904544,3.3014408238745814,5.3599358175336675,6.831936830230838,1.1846190021371434,3.642601640313437,12.853290975216844
360050075002,0.12533218265223878,1.5030690388325283,13.80333974071096,1.4015076012274201,6.629311354207428,14.693920738887677,13.662554035452647
360050075003,0.018091262773157202,1.5720340480866,10.070844836771547,2.6308847378191804,3.7068950468655406,11.249960506615352,14.964730817025888
360050075004,0.7990068840358666,1.98293015733646,8.39372814531204,5.545872545303498,7.455785591102821,1.8308786782524573,13.772457290064727
360050076001,0.5807427419146038,3.03919407116126,8.874974466863584,2.6373648423251392,1.189106810998613,7.217950852147963,13.31801691469505
360050076002,0.41102542394144626,2.4238158790392648,3.9077372473667857,3.1786607059457888,1.6252843325399695,11.709333957924422,11.875553707757296
360050076003,0.44118540939171247,4.577792452110674,5.995576610046356,1.1424033691592093,7.139997289208593,13.079734774633627,9.38386993301475
360050076004,0.6306280751575721,9.973249342492869,11.396418198719056,2.6615925026514393,3.8815416812969836,10.14633783238688,11.078309544926007
360050076005,0.5312481626948021,2.4909014415881088,12.199971669965787,2.4525989024853843,1.120011429424669,10.88380615272682,12.106066672998892
360050077001,0.5939622374646109,1.5039933364296507,2.5894410614238126,2.031039164490258,3.4270769203878952,11.293553203573492,8.92850653773304
360050078001,0.6066364928877904,2.2716762024267183,5.048764424367951,3.5009866144098947,1.0047904976718556,1.1250319431150722,14.841419019470369
360050078002,0.7332475161289214,1.5527681325409262,2.255454799156966,1.7862884616865529,7.202636572259771,10.967959869737662,9.749840588694607
360050078003,0.08355471447667417,6.763678664348915,5.493513686058256,2.2565036937964966,8.429575828860383,6.164979819911081,11.439591777720516
360050078004,0.2363548921516806,1.483518583733353,4.579927946976851,2.374266806783142,11.492853947797746,2.02089035407573,9.245451504917298
360050079001,0.47210047716282943,4.870768181059883,10.483291553443385,3.6037612531957173,1.2357967813312412,9.771107852242395,14.718885632935692
360050079002,0.7876068349543003,11.843637067167663,2.160186821853568,2.6516666307560035,9.255044782575743,4.874260993448066,13.73833177141065
360050079003,0.32784966376196256,1.6288970152032087,2.4266072137512964,2.7557176781272488,1.3540956846466519,6.002231055711999,14.50780197681592
360050079004,0.1555181706600015,5.514818138532993,11.276342614359047,1.342168695047171,1.4649363500802224,8.833709383386362,13.045669931299454
360050079005,0.18228030094511571,3.8470672663044283,13.113013223796036,1.1017940840025968,3.2220134568273124,1.4990948848315888,14.12659950065104
360050079006,0.6917225776793562,3.2766687833894146,2.7846500212061933,2.6198511593245275,6.04606960350095,1.2216490576857417,9.278589973603875
360050083001,0.5896821417999358,5.043579672801829,5.186644302331499,5.368992537680612,13.354532189320345,7.507277288243756,13.009200343175394
360050083002,0.7604124035960458,1.8995974294510738,6.95038397355205,7.365528531224003,7.036150321803468,1.2264423567377922,12.209995507302661
360050083003,0.4626610972562637,1.9291023058687404,14.60961112945129,1.0421623394958655,2.872162997521528,8.078248716030505,14.889736503188626
360050083004,0.54868739181398,2.0866929141888026,5.79090791498713,2.0596155165789582,13.948286039713777,10.506685042233649,7.777475414725178
360050083005,0.6490168497112789,2.7062010398105185,4.25985609248368,2.795224753508599,2.7819617748520784,1.490894761759976,7.136487145550561
360050083006,0.801735474653751,5.424859527069891,4.024639405650456,5.146615924363845,11.964495292541006,1.0679910706634637,9.142098489986466
360050084001,0.7915885848660671,8.805504845901103,8.926714567668535,1.111837447674923,5.314412879797004,2.8400338114409323,14.496171722926206
360050084002,0.894576368906543,1.884683698878593,1.323773666688858,5.347557467331608,9.270689283470103,4.811526746936131,13.244510157810222
360050085001,0.2586145104943133,1.0450501827532788,4.3956710636569145,6.035241005457895,13.349935690024722,9.5572334955543,12.519377862485616
360050085002,0.19422572663257753,3.3049790918464765,3.7816055013572725,2.3595841742067805,10.370335900249628,2.1417227082299224,11.380374052346141
360050085003,0.6682391469838738,7.36785556187379,10.386495268148776,2.9660976406627295,7.124752830124375,4.548477741427391,12.500893115531646
360050085004,0.14915961029329605,1.2846243575314107,5.53466477027682,5.577189688304468,4.557554452207759,10.595623005735174,11.977309920648857
360050085005,0.23006097831002992,1.1850856052716674,3.319399898765637,1.0891214031324874,5.054064571374058,6.018402322199611,7.049897396883463
360050086001,0.28371347490249055,2.3734613297127014,2.8825669253096464,3.0370196776836895,10.42515973227777,2.0208425022097583,9.335933447179471
360050086002,0.5738628635432327,1.296650925405288,14.3840416003119,1.7266752519269204,2.552182093077831,6.340882407482441,14.956459546765316
360050086003,0.8024020545585826,1.8839502781117758,4.2455020013409595,8.263645448378904,1.0446257289296472,7.73730193179186,13.908542933000014
360050087001,0.25210523612583835,2.6876316355429424,9.545326478757246,1.5551524248005286,1.706050436142398,3.3887062428815176,14.151593208295372
360050087002,0.1287515779699333,3.410316221459258,1.044122227482816,5.91416716218648,8.854921444758574,9.135667962649777,12.837698397478993
360050087003,0.19987718494633866,2.782264523445887,3.4853586096236633,4.237231327309989,1.1048798048904427,8.914370483098578,6.973357438733922
360050087004,0.15638136873647324,3.223543655458048,10.37321570314142,2.7266780799292647,1.1495390704348871,11.025580824332966,13.291807668530957
360050087005,0.219955403854582,2.2631016115285334,14.96011413753883,1.8266048724538706,2.475386132519297,6.878049982614213,9.711411087293087
360050089001,0.007323673098270755,8.694719802396932,7.301155080336508,5.146577844431171,5.631177928599335,12.930615274593567,14.61598552675181
360050089002,0.06022097117546932,1.5749385480474483,7.272392350182512,2.8587744005446636,3.6414753137445284,1.9392792349323904,10.735405115182385
360050090003,0.7685691938897012,4.927230488243704,6.343414874537094,7.234667053664936,7.388576371613587,10.572068845635192,7.645651199125996
360050090004,0.5773038790402303,7.500740237344459,9.899837073088763,2.5187436371381535,3.3391847065462272,1.2807237032193068,14.404380349633305
360050090005,0.7800385632930598,7.745349479194292,12.448628700341828,1.5767167336807866,2.1900210423247586,12.772673717115804,4.908196894285821
360050092001,0.025549180279910266,2.8530243010127556,12.852164981431951,1.8252893529206373,1.2663188355124912,7.099383135909365,13.854872943537707
360050092002,0.9231391163518344,1.8252213660515253,5.172978517332858,1.6786626742447488,1.0877839003209129,4.950189561124369,9.707495124728082
