cbg,year,seed,cost,H_Area_of_store,R_Percentage_of_Visits_by_brand,J_POI_count_where_store_is,K_POI_diversity_where_store_is,L_Demographic_similarity,G_Distance_between_cbg_and_store
360050020003,2018,0,0.2845409640870282,6.38843167036211,6.398212227764115,4.039435920828382,5.969618556891382,27.58400919129106,26.642019047185762
360050020003,2018,1,0.23542017812962235,5.130653790063745,9.573110117585458,1.1011669819751795,2.6742446516599507,24.838878124247437,27.169259810114223
360050020003,2018,2,0.25732718232297613,6.471524386388543,2.698341584882708,3.6449306889289823,14.411642562481108,2.8808359411360267,26.249146210490185
360050020003,2018,3,0.2969645364252592,8.057502688813523,15.310107199476562,3.3060929186093153,14.97144655884054,1.4025947512490888,27.795956699397266
360050020003,2018,4,0.2733801191629788,7.789388291146668,5.739419195541359,5.14239892456753,3.3131417921462596,24.898505549473892,24.011624377003237
360050020003,2018,5,0.2926754178260874,11.964282478387506,10.409662418939561,1.3717943421897232,2.327738788410065,21.718126370499856,26.396428641866976
360050020003,2018,6,0.2381843019423835,6.784301978327139,4.084391034944549,5.105998042556463,4.153668429205759,16.586662188513515,26.961898361338733
360050020003,2018,7,0.3017688503830839,13.760464646633267,21.315743983918992,6.779312844989656,16.614027963781673,6.868877897741221,22.453763586058415
360050020003,2018,8,0.24610370247818847,1.5123660373959638,7.8938091458641555,3.4696420796418312,4.14007467570589,16.092960928180233,24.733708084661814
360050020003,2018,9,0.3003554283244443,9.943293999965963,10.989474459435918,1.5174433879210767,2.5753732111860757,13.283351769767979,20.912513907273276
360050023001,2018,0,0.10272934539274114,1.6423315348192702,22.797875363539184,1.8139238826412512,1.1511011249654075,21.360359745345022,5.013151102759794
360050023001,2018,1,0.13420128091846573,1.817138603511454,13.55012556686684,3.134683632884496,16.382084319509012,3.3274103717574057,6.671401198948187
360050023001,2018,2,0.11987840861407939,3.7791001822357932,18.936567864903495,2.2816715650664037,9.777686933545553,24.86638078056841,4.612214259288974
360050023001,2018,3,0.11726068361713438,1.4233271039615367,12.279147081585165,1.2615473642855735,14.474815891557533,9.684076527852325,5.008032185972404
360050023001,2018,4,0.11200581357334927,3.0899184717394785,7.780891992319811,1.6203159954641926,7.098077017051882,22.638252808210872,4.633230545381203
360050023001,2018,5,0.13382624991436487,1.5628949878835954,26.858386581035404,5.531029348946808,3.6276989132510273,12.99663132571397,6.491631234053401
360050023001,2018,6,0.14654880536307824,6.705262251002324,13.196025494413568,3.8873866815325977,10.765671966248473,23.578563144377533,5.507303874055847
360050023001,2018,7,0.13114071717726172,4.848612309838798,10.06571294821985,2.146297924871822,4.563021640669856,14.333664407615938,4.239595976372341
360050023001,2018,8,0.16054448006979138,9.535058911288006,21.178135465383793,1.1414087725383562,21.51265029247853,5.996872665603489,6.97862179625318
360050023001,2018,9,0.13581783827081728,2.268281131172622,7.947129190794201,3.1870280387260133,14.216069436505464,9.252617431926591,5.307504073218903
360050023003,2018,0,0.275925034427146,8.651024651620956,23.064917011363946,2.65524249304172,19.99317113398718,8.441130658192286,11.91033160368364
360050023003,2018,1,0.27404020406053686,6.936954572533935,23.239786739881506,5.959541938219081,23.528693002066404,18.99391010855213,8.989267421191613
360050023003,2018,2,0.24908808458993836,11.411421392203263,27.610093380461837,5.140821353337611,7.964519883284591,9.092083342049955,12.91075416273634
360050023003,2018,3,0.2488499168017747,9.153380992830252,23.662701926087372,5.102528193928848,12.192829624343535,5.510719244802502,11.71842142587137
360050023003,2018,4,0.23900302674545681,7.1566112868860365,16.988985710198335,3.1715869954541347,4.045452820067487,17.906861678600265,9.435325425171916
360050023003,2018,5,0.29715000923475987,7.953078085089891,24.875579348821873,9.325752619200538,22.203736004604767,10.141611722894526,15.318136289876014
360050023003,2018,6,0.2836368450771025,2.3454645595234496,7.003905186526893,5.1289324389217015,2.5051528859078367,12.15860659298147,10.509078042540992
360050023003,2018,7,0.22855451431727491,4.629944732076592,12.40098542829992,3.5286211999303525,7.40619295957988,27.048341169378652,6.338669087232134
360050023003,2018,8,0.2720921023196786,9.353091710095459,27.652447195882825,6.822003909099355,20.14509582971536,11.136099742770435,10.96914832910104
360050023003,2018,9,0.2893929657464285,3.367099937637666,11.660687195992407,6.1211299590896955,24.988718169980768,4.146014154787018,15.95207331994665
360050040011,2018,0,0.34956585897487547,8.05757447234808,7.993324874022228,9.495358934117517,5.255649437976475,3.1519959489440623,27.42922952718738
360050040011,2018,1,0.8509920393893065,2.45555034599133,12.34522936003057,19.3348585872666,25.8022480053932,1.0108546720666507,27.372497023838612
360050040011,2018,2,0.3306158847210864,3.9576176675940187,3.9531127998369406,9.851097994695767,11.315494652736744,1.3238907901239039,27.2230939327733
360050040011,2018,3,0.3662841457748469,14.729389964683696,11.220357667995906,2.1786271099270738,12.287560751971892,2.240846271331815,19.650401503483337
360050040011,2018,4,0.35508311868359677,22.102124005369575,15.272959319091887,1.140602052109882,7.069018987757504,2.235705680251053,17.991454555031893
360050040011,2018,5,0.3424413811931063,13.077374157818012,1.743268513897792,8.532397146007348,3.029603496939344,2.288936182067178,24.316810655979967
360050040011,2018,6,0.35195005011357106,9.164777860865687,2.996968007358344,6.073713945133911,9.354258746313075,2.92067664029614,26.357574511310865
360050040011,2018,7,0.35721573551023067,24.696097916354024,15.28356582644072,1.9787852329992197,22.586883788673358,2.3183933352299464,21.332364740618083
360050040011,2018,8,0.3475350575962134,9.677813555201887,1.0172071026630576,9.735279723259062,7.913370016277746,1.6394125158884045,23.12736414244949
360050040011,2018,9,0.2948523295972323,4.349793318398815,9.088189511859255,1.46498333967493,12.74902467346139,4.29863896865816,26.10785270091051
360050043001,2018,0,0.25116776938959284,8.209243065940004,21.524700591107358,4.407136348433102,3.1120455521344788,16.492891613624412,25.17861284055033
360050043001,2018,1,0.6285636444527456,10.563893732306,8.924265952956027,2.5929112184880383,2.9261646707707207,11.80978006029199,16.777134377831228
360050043001,2018,2,0.5120973535207922,1.3140689966762098,6.503805973503247,2.138432343538301,5.568531162409744,15.7322733374404,18.989017731014883
360050043001,2018,3,0.2382260564162636,5.234445744757883,5.394424556304109,5.700843388118777,4.52848122889601,13.951400016948357,27.84583458997978
360050043001,2018,4,0.25681376028959346,4.290721859950592,20.169049939229275,1.1644102248840582,5.08995327569788,15.28063188073045,24.303520443127198
360050043001,2018,5,0.25178562808676197,5.4998325264162204,19.285267700815893,5.335288584068945,1.5698371992615598,3.4325006496803834,21.394331298264163
360050043001,2018,6,0.28887253904311094,9.139799527612677,20.404353878302377,4.582867338237023,3.132116060722449,14.926517542104584,22.480229021323417
360050043001,2018,7,0.2370781420110143,6.961840965778215,7.758240440488009,7.09897524963287,3.1720511382985856,3.1557673952406553,25.839179776130777
360050043001,2018,8,0.42350242629695345,14.463100980915428,22.121568054026568,2.532553162468389,1.2844110495131282,17.810154139237042,19.69561734482639
360050043001,2018,9,0.25585569517370377,11.892446938117509,14.235962573073882,2.4686002238662326,1.750995864624464,9.628094723498563,24.892031407097335
360050043002,2018,0,0.4131241060069468,1.7388564466729548,6.202654260211687,4.2426979868540045,14.197677740751722,2.321684210308831,13.027111861979904
360050043002,2018,1,0.4182039229798241,10.78939968352325,26.13038405521729,8.093903381611778,17.511347180226608,16.740417376614644,22.283816704975298
360050043002,2018,2,0.4144131688289425,1.343585028985553,1.098401480856967,3.0674568552408554,5.373230727591155,16.407062622922023,15.213821915912396
360050043002,2018,3,0.3615940518420776,13.07125228278075,20.86228250505379,2.3063187492929136,1.2714562266419343,12.723051477573032,24.21062501937672
360050043002,2018,4,0.4165180430480062,3.9768433769494713,11.509128305241227,9.720513356440414,3.73808850025641,13.399172689544066,18.40871324524877
360050043002,2018,5,0.39082720006024907,7.534208132207057,15.506609389819856,1.756782381147623,22.596153713304023,8.11132741613961,23.124392134258766
360050043002,2018,6,0.347335032167551,5.00255733084272,26.552921269459112,1.030733105787455,1.650924282205438,10.23024715924359,17.85626655477843
360050043002,2018,7,0.3452943469646166,3.603316590858804,9.981915125872598,4.089625914721901,1.9010799423999032,23.696687308383957,5.4407152341357055
360050043002,2018,8,0.2686464118266122,10.04105666719099,17.03191551754298,3.0858617091714784,1.8089637462475494,10.52918550209812,27.871257054687018
360050043002,2018,9,0.41811514679501394,2.82901344110223,9.906039003319146,5.266272019213574,19.285373673020693,7.785747435386139,15.62522895688599
360050043004,2018,0,0.7080311472024272,9.89515914341689,16.09949649249109,11.38378343005731,2.6989866686745447,25.68833862022855,20.747248546575094
360050043004,2018,1,0.5669086562515468,5.130653790063745,9.573110117585458,1.1011669819751795,2.6742446516599507,24.838878124247437,27.169259810114223
