cbg_norm,sampling_bias,abs_sampling_bias,representation_ratio_final,abs_bias_rank_pct
360050359001,0.0052464845520054,0.0052464845520054,1.218159939391513,0.6572155579789167
360050167001,-0.0009309983306134,0.0009309983306134,0.8942540729568319,0.14049436568520537
360050380001,-0.0064507394314099,0.0064507394314099,0.6095428791863157,0.7522719011268629
360050216023,-0.0099892911439153,0.0099892911439153,0.6892316467740562,0.920392584514722
360050213021,-0.0068677496719206,0.0068677496719206,0.7252263362574207,0.7833515085423483
360050175002,-0.0024979864562141,0.0024979864562141,0.8095687930539431,0.3607778989458379
360050189001,-0.0032115165671437,0.0032115165671437,0.868652837399591,0.4523809523809524
360050132002,-0.0063494412692049,0.0063494412692049,0.5592393405102342,0.7459105779716467
360050273002,-0.0117635955291809,0.0117635955291809,0.5067240506060273,0.9592875318066157
360050257001,-0.0060455784165874,0.0060455784165874,0.7271602731541071,0.7253725917848055
360050261001,-0.0030693968730982,0.0030693968730982,0.869808939179554,0.43493275172664486
360050246002,-0.0065738212144477,0.0065738212144477,0.5391266053220414,0.762450018175209
360050269002,-0.0038814161684125,0.0038814161684125,0.7623415901456113,0.5296255906942929
360050215024,0.0006996750258138,0.0006996750258138,1.0927997301114598,0.10468920392584515
360050199004,-0.0071998766142904,0.0071998766142904,0.7451899827898862,0.8002544529262087
360050218005,0.0034174125208997,0.0034174125208997,1.6152768398460735,0.47891675754271174
360050086001,-0.0043987671558564,0.0043987671558564,0.5859599986547468,0.5785169029443838
360050165001,5.998210572971674e-05,5.998210572971674e-05,1.0050655313311652,0.008542348237004725
360050155002,-0.0003120405872064,0.0003120405872064,0.9732474642415604,0.046528535078153396
360050087002,-0.0079353130089343,0.0079353130089343,0.6306473641122387,0.8431479462013813
360050123002,9.358331825314384e-05,9.358331825314384e-05,1.0057760641087432,0.01272264631043257
360050230001,-0.0013001210168455,0.0013001210168455,0.9175294352336798,0.19956379498364232
360050251002,0.0016261987469352,0.0016261987469352,1.1737478582678642,0.24827335514358415
360050215022,-0.0100848803215959,0.0100848803215959,0.5129117353252721,0.9223918575063613
360050098002,0.001981035091412,0.001981035091412,1.2394777383308646,0.2937113776808433
360050002001,-0.0152783261274284,0.0152783261274284,0.3884361407966877,0.9949109414758269
