seed,inertia
12424,15175.496986706023
18427,15175.496986706023
2857,15175.50255537668
1716,15175.50255537668
13345,15175.50255537668
3530,15175.50255537668
1251,15175.50255537668
8772,15175.50255537668
8735,15175.508944620335
17571,15175.52308781637
