,PC1,PC2,PC3,PC4,PC5,PC6,PC7
med_ageE,0.24675483608509863,0.1516234944259782,0.44128926467452745,0.8454569514071126,0.06524930133548387,-0.04627198016106729,-0.013788674130678098
bachelor_degree_25E,0.49965281236047876,0.17061194271808267,-0.10089876947509954,-0.10193565773638336,0.28173157703098295,0.7877252244667671,0.02799073676958714
med_hh_incomeE,0.4611952477038092,0.2303870758715218,-0.118808839114105,-0.19082261440749848,0.5794872336516405,-0.5897939697024908,0.005435778066041794
whiteE,0.4696355423177168,-0.1779911714598036,-0.3709930276515349,0.12774545419330594,-0.4832035232394152,-0.13826480024240673,0.5841267608868361
blackE,-0.3505966853356174,0.6848721079301537,0.11140048594703574,-0.06955585866054086,0.04330285627624274,0.04171859336794845,0.6222286524047761
asianE,0.12189771098888624,-0.4520617008403351,0.7090956767793697,-0.3274372959038093,0.12656370101029912,0.009807954161074356,0.39323623781992834
hispanicE,-0.34412705668632676,-0.43558378471472614,-0.3579177409507707,0.3317021156701762,0.5737466693302415,0.09239673105599411,0.3405723653575658
