parameter,Excluding top 10% absolute sampling-bias CBGs,Excluding top 20% absolute sampling-bias CBGs,Full analytical sample
chain_loyalty,44.19212640978213,44.250275395730405,43.461658269460024
demographic_similarity,2.6833668401456365,3.616483941334799,2.4982972296433967
distance,-22.264852647300245,-22.37441417486747,-22.532490659570026
poi_count,28.123484933278405,28.288866933128133,27.934428380291113
poi_diversity,11.932686018048189,12.634273367893908,12.20235795794165
store_area,77.70797718786484,78.082026942118,78.57920139308493
