GEOID,populationE,med_ageE,med_hh_incomeE,bachelor_degree_25E,whiteE,blackE,asianE,hispanicE,kmeans_cluster_stability_check
360050245023,1886,28.9,30500.0,0.042417815482502653,0.15429480381760338,0.2391304347826087,0.0,0.8738069989395546,1
360050247002,1318,35.4,44524.0,0.08042488619119878,0.04552352048558422,0.5235204855842185,0.004552352048558422,0.5022761760242792,1
360050253004,1222,26.6,36250.0,0.044189852700491,0.09410801963993454,0.036824877250409165,0.0,0.9451718494271686,1
360050263005,1941,63.8,12351.0,0.1566202988150438,0.3111798042246265,0.22050489438433796,0.0,0.45904173106646057,1
360050265004,1191,28.2,38099.0,0.07304785894206549,0.028547439126784216,0.22334172963895885,0.07388748950461797,0.7489504617968094,1
360050266025,755,38.0,69306.0,0.2,0.7748344370860927,0.04370860927152318,0.06622516556291391,0.3629139072847682,0
360050267011,1668,37.1,73313.0,0.21942446043165467,0.04016786570743405,0.09112709832134293,0.2775779376498801,0.6330935251798561,1
360050213023,986,35.6,34575.0,0.02434077079107505,0.11156186612576065,0.3691683569979716,0.0,0.6267748478701826,1
360050216023,2359,37.7,56593.0,0.19838914794404408,0.26663840610428147,0.45739720220432384,0.15006358626536667,0.39423484527342095,1
360050216021,335,26.7,86375.0,0.2417910447761194,0.591044776119403,0.3253731343283582,0.0,0.6746268656716418,1
360050216022,1535,44.0,46360.0,0.33680781758957656,0.11791530944625407,0.41042345276872966,0.2703583061889251,0.16547231270358306,2
360050219001,1045,33.8,21686.0,0.0708133971291866,0.10047846889952153,0.11578947368421053,0.009569377990430622,0.9244019138755981,1
360050233013,965,27.8,15587.0,0.0922279792746114,0.007253886010362694,0.40207253886010363,0.019689119170984457,0.5906735751295337,1
360050233011,537,47.0,25272.0,0.12290502793296089,0.16387337057728119,0.1303538175046555,0.0,0.8696461824953445,1
360050233012,1497,32.5,40389.0,0.09619238476953908,0.1342685370741483,0.45090180360721444,0.02738810955243821,0.5551102204408818,1
360050119002,832,29.4,27875.0,0.06370192307692307,0.09975961538461539,0.375,0.0,0.625,1
360050119004,902,47.8,17763.0,0.018847006651884702,0.07317073170731707,0.22283813747228381,0.0,0.7305986696230599,1
360050115021,1634,20.8,22500.0,0.038555691554467565,0.15055079559363524,0.37454100367197063,0.0,0.6456548347613219,1
360050115022,1241,31.3,19313.0,0.1385979049153908,0.04915390813859791,0.44721998388396456,0.0,0.6438356164383562,1
360050141001,1778,31.1,25855.0,0.08717660292463442,0.09111361079865017,0.4111361079865017,0.0,0.6467941507311586,1
360050141003,2189,34.4,37540.0,0.12060301507537688,0.10370031978072179,0.4709913202375514,0.006395614435815441,0.5568752855185016,1
360050155001,2149,30.7,18763.0,0.05304792926942764,0.08748255002326663,0.2601209865053513,0.0,0.7487203350395533,1
360050151001,794,33.7,35391.0,0.1624685138539043,0.0327455919395466,0.7984886649874056,0.0,0.19395465994962216,3
360050223003,1654,37.1,29719.0,0.0501813784764208,0.13784764207980654,0.15175332527206772,0.0,0.7684401451027811,1
360050223002,998,37.0,39271.0,0.08316633266533066,0.09819639278557114,0.06713426853707415,0.0,0.8627254509018036,1
360050223001,1088,31.6,24750.0,0.042279411764705885,0.140625,0.11029411764705882,0.0,0.9181985294117647,1
360050254001,1141,37.8,44250.0,0.20595968448729185,0.6976336546888694,0.057843996494303246,0.09377738825591586,0.26993865030674846,0
360050296002,141,34.3,60250.0,0.3049645390070922,0.7446808510638298,0.0,0.2553191489361702,0.0851063829787234,0
360050376001,1359,33.8,48523.0,0.16114790286975716,0.15746872700515085,0.38704930095658574,0.0,0.5577630610743194,1
360050027012,1498,23.3,20250.0,0.07610146862483311,0.09679572763684913,0.25033377837116155,0.0,0.7690253671562083,1
360050065004,889,24.1,29706.0,0.020247469066366704,0.02699662542182227,0.6355455568053994,0.0,0.484814398200225,1
360050065002,2345,37.3,19329.0,0.11257995735607676,0.1394456289978678,0.4660980810234542,0.02601279317697228,0.4912579957356077,1
360050065001,1011,30.4,20847.0,0.06923837784371908,0.27101879327398615,0.17507418397626112,0.00791295746785361,0.7250247279920871,1
360050235022,936,41.6,20391.0,0.027777777777777776,0.09935897435897435,0.17094017094017094,0.05128205128205128,0.8760683760683761,1
360050251005,1404,33.9,23813.0,0.12962962962962962,0.10541310541310542,0.2606837606837607,0.08903133903133903,0.6566951566951567,1
360050251001,2093,24.5,24885.0,0.05828953655040611,0.0,0.19254658385093168,0.0,0.8174868609651218,1
360050255002,2847,28.1,35567.0,0.0460133473832104,0.12925886898489639,0.053389532841587636,0.0,0.9866526167896031,1
360050373002,1993,27.0,49741.0,0.04917210235825389,0.08931259407927747,0.5218263923733065,0.0015052684395383843,0.6954340190667335,1
360050373001,1515,33.2,35737.0,0.061386138613861385,0.17623762376237623,0.48052805280528055,0.0,0.533993399339934,1
