parameter,Excluding top 10% absolute sampling-bias CBGs,Excluding top 20% absolute sampling-bias CBGs,Full analytical sample
chain_loyalty,-0.08246867540429278,-0.3357359438796717,-0.09888578999364273
demographic_similarity,-0.6101303419009175,-0.4977313017434913,-0.4242017445921579
distance,-0.43399706200601984,-0.5774967227794088,-0.5867864753767484
poi_count,-0.47085500526138924,-0.46382762016417906,-0.7976588231580292
poi_diversity,1.1417528908428483,0.8017304324261266,0.7592736050564934
store_area,1.3611232281818397,1.346890998799074,0.7722519703224966
