sample,n_cbgs,parameter,mean_2018,mean_2019,mean_2020,mean_2021,change_2018_2019,change_2019_2020,change_2020_2021,change_2019_2021,pct_change_2018_2019,pct_change_2019_2020,pct_change_2020_2021,pct_change_2019_2021
Full analytical sample,5502,store_area,4.232757230084455,4.26544478119275,7.617197226117032,7.719190991220213,0.03268755110829513,3.3517524449242817,0.10199376510318103,3.4537462100274627,0.7722519703224966,78.57920139308493,1.3389933603593158,80.97036504272103
Full analytical sample,5502,chain_loyalty,6.506022324200719,6.499588792628271,9.324417862600493,9.348946526344644,-0.006433531572448636,2.824829069972222,0.024528663744151302,2.8493577337163734,-0.09888578999364273,43.461658269460024,0.263058392551602,43.83904620163154
Full analytical sample,5502,poi_count,3.8584546260722985,3.8276773223098837,4.896917102539183,5.540651150517927,-0.03077730376241483,1.069239780229299,0.6437340479787439,1.712973828208043,-0.7976588231580292,27.934428380291113,13.145700335522333,44.75230496112762
Full analytical sample,5502,poi_diversity,6.691128849382024,6.741932824615702,7.564607601159277,7.808746895861979,0.05080397523367797,0.8226747765435745,0.2441392947027019,1.0668140712462764,0.7592736050564934,12.20235795794165,3.227388750016426,15.82356423592942
Full analytical sample,5502,demographic_similarity,7.645512689844505,7.61308029163117,7.803277665647519,7.778693611842474,-0.03243239821333521,0.19019737401634895,-0.024584053805044803,0.16561332021130415,-0.4242017445921579,2.4982972296433967,-0.3150477896393657,2.1753786098034182
Full analytical sample,5502,distance,10.747952498864182,10.68488496722093,8.277314259996071,6.9557698181663,-0.0630675316432523,-2.407570707224858,-1.3215444418297713,-3.7291151490546293,-0.5867864753767484,-22.532490659570026,-15.965860426693508,-34.90084507689883
Excluding top 10% absolute sampling-bias CBGs,4951,store_area,4.226878844213773,4.2844118739894705,7.6137416756633804,7.726211893087235,0.05753302977569774,3.32932980167391,0.11247021742385499,3.441800019097765,1.3611232281818397,77.70797718786484,1.4772003334885344,80.3330800195197
Excluding top 10% absolute sampling-bias CBGs,4951,chain_loyalty,6.485984184912779,6.480635279668549,9.344565814616612,9.33521687291252,-0.005348905244229485,2.8639305349480626,-0.009348941704091729,2.854581593243971,-0.08246867540429278,44.19212640978213,-0.10004682817331408,44.047866760833486
Excluding top 10% absolute sampling-bias CBGs,4951,poi_count,3.850988530288886,3.832855958041979,4.910788625916179,5.5529160781083755,-0.01813257224690723,1.0779326678741996,0.6421274521921969,1.7200601200663965,-0.47085500526138924,28.123484933278405,13.075851988485837,44.87672218564384
Excluding top 10% absolute sampling-bias CBGs,4951,poi_diversity,6.6938040226148505,6.7702307235504104,7.578101098489113,7.813833660740926,0.07642670093555992,0.8078703749387026,0.23573256225181272,1.0436029371905153,1.1417528908428483,11.932686018048189,3.110707539898247,15.414584521622244
Excluding top 10% absolute sampling-bias CBGs,4951,demographic_similarity,7.6356066202676764,7.589019467489228,7.792660699372031,7.80718647704878,-0.04658715277844827,0.20364123188280292,0.014525777676748675,0.2181670095595516,-0.6101303419009175,2.6833668401456365,0.18640331251582953,2.874772037338449
Excluding top 10% absolute sampling-bias CBGs,4951,distance,10.729071088770246,10.682507235464445,8.3040627404511,6.9918874794898205,-0.04656385330580015,-2.378444495013346,-1.3121752609612791,-3.690619755974625,-0.43399706200601984,-22.264852647300245,-15.80160581602251,-34.54825421247812
Excluding top 20% absolute sampling-bias CBGs,4401,store_area,4.2291789656445395,4.28614139645591,7.632847476413886,7.749951205043844,0.05696243081137009,3.3467060799579764,0.11710372862995833,3.4638098085879347,1.346890998799074,78.082026942118,1.534207633413589,80.81417499320162
Excluding top 20% absolute sampling-bias CBGs,4401,chain_loyalty,6.49641331814789,6.474602523575881,9.33963197103712,9.321120748138659,-0.02181079457200852,2.8650294474612386,-0.018511222898460744,2.846518224562778,-0.3357359438796717,44.250275395730405,-0.19820077446162115,43.96437023273305
Excluding top 20% absolute sampling-bias CBGs,4401,poi_count,3.8585960130059607,3.8406987789470852,4.927188945825703,5.526596863717832,-0.017897234058875444,1.086490166878618,0.5994079178921288,1.6858980847707468,-0.46382762016417906,28.288866933128133,12.165312198955656,43.895608112045956
Excluding top 20% absolute sampling-bias CBGs,4401,poi_diversity,6.68614138504299,6.739746215281917,7.591264176422918,7.766500865569316,0.05360483023892737,0.8515179611410009,0.17523668914639856,1.0267546502873994,0.8017304324261266,12.634273367893908,2.3083993004834658,15.234322146423008
Excluding top 20% absolute sampling-bias CBGs,4401,demographic_similarity,7.578037522652002,7.540319257843896,7.813013692929196,7.818873246801728,-0.03771826480810603,0.2726944350852998,0.005859553872532786,0.27855398895783257,-0.4977313017434913,3.616483941334799,0.07499735828999893,3.694193567043781
Excluding top 20% absolute sampling-bias CBGs,4401,distance,10.73770352004723,10.675693634117188,8.287069724379847,7.038632690041906,-0.062009885930041975,-2.3886239097373405,-1.2484370343379414,-3.637060944075282,-0.5774967227794088,-22.37441417486747,-15.06487909309061,-34.06861482472697
