component,explained_variance_ratio,cumulative_explained_variance
PC1,0.4209868830309408,0.4209868830309408
PC2,0.1837312338657581,0.6047181168966989
PC3,0.16932375770032865,0.7740418745970274
PC4,0.11141986268830484,0.8854617372853323
PC5,0.07058800721709178,0.9560497445024241
PC6,0.03854863219159085,0.994598376694015
PC7,0.005401623305984941,0.9999999999999999
