parameter,Excluding top 10% absolute sampling-bias CBGs,Excluding top 20% absolute sampling-bias CBGs,Full analytical sample
chain_loyalty,44.047866760833486,43.96437023273305,43.83904620163154
demographic_similarity,2.874772037338449,3.694193567043781,2.1753786098034182
distance,-34.54825421247812,-34.06861482472697,-34.90084507689883
poi_count,44.87672218564384,43.895608112045956,44.75230496112762
poi_diversity,15.414584521622244,15.234322146423008,15.82356423592942
store_area,80.3330800195197,80.81417499320162,80.97036504272103
