cluster,med_ageE,bachelor_degree_25E,med_hh_incomeE,whiteE,blackE,asianE,hispanicE
1,39.33981072555205,0.3054027576343211,72421.42965299684,0.7343745219116922,0.0546366655075938,0.11341751557705944,0.18475718902370772
2,33.71910598413843,0.119282779810409,42127.363374188906,0.2669112054602099,0.23955914291063604,0.05878895556955084,0.6451676024248268
3,41.07176325524044,0.22720191969719986,63117.15659679408,0.2926380188412334,0.05459860438980757,0.5082659873682126,0.18697902886025808
4,37.680133555926545,0.18706668524742767,59960.331385642734,0.11385124050562423,0.7442940203710202,0.03417266790928715,0.1488086314941204
5,40.91202380952381,0.6384994468833924,138625.17380952375,0.7888522837997342,0.0404235397695803,0.1101446435654039,0.09204773107173869
