,Store area,Chain loyalty,POI count,POI diversity,Demographic similarity,CBG-Store Distance
Q1 (lowest fit) (n=1376),62.09,36.99,92.23,14.84,4.49,-37.61
Q2 (n=1375),67.5,42.3,9.31,13.06,2.51,-42.24
Q3 (n=1375),99.87,55.54,38.05,17.54,2.03,-31.67
Q4 (highest fit) (n=1376),95.19,42.05,40.76,17.89,-0.27,-28.16
