,Store area,Chain loyalty,POI count,POI diversity,Demographic similarity,CBG-Store Distance
Q1 (lowest fit) (n=1376),65.99,41.4,42.13,10.34,4.23,-36.77
Q2 (n=1375),79.67,54.87,29.98,10.99,-0.15,-26.86
Q3 (n=1375),87.03,41.56,19.57,13.26,2.69,-21.12
Q4 (highest fit) (n=1376),81.15,36.8,19.03,14.22,3.26,-5.39
