borough,state_fips,county_fips,census_population,number_devices_residing,cbg_count,bias,abs_bias,expected_devices_if_representative,device_count_gap,devices_per_100_residents,representation_ratio,log_representation_ratio
Staten Island,36,085,473184,41280.0,304,2.1703528649064117,2.1703528649064117,29750.998767502548,11529.001232497452,8.723879082978291,1.387516443484605,0.3275154177283038
Queens,36,081,2309318,148170.0,1678,0.5598232795743314,0.5598232795743314,145196.19634596998,2973.8036540300236,6.416180015052063,1.0204812779457675,0.020274357137461927
Bronx,36,005,1435639,89112.0,1108,-0.2169507930634076,0.2169507930634076,90264.45129078453,-1152.4512907845346,6.207131458535189,0.9872325010089305,-0.012849703957091148
Brooklyn,36,047,2595690,155565.0,2022,-1.4375957994068038,1.4375957994068038,163201.56639028093,-7636.566390280932,5.993204119135952,0.9532077628959834,-0.04792238975380164
Manhattan,36,061,1634868,97077.0,1074,-1.0756295520105397,1.0756295520105397,102790.78720546205,-5713.787205462053,5.93791058360675,0.9444134308063901,-0.057191252348831184
