borough,state_fips,county_fips,census_population,number_devices_residing,cbg_count,bias,abs_bias,expected_devices_if_representative,device_count_gap,devices_per_100_residents,representation_ratio,log_representation_ratio
Staten Island,36,085,473324,41341.0,338,1.9758022372615924,1.9758022372615924,30549.89922690497,10791.10077309503,8.734186307899028,1.3532286863843865,0.3024933566240399
Queens,36,081,2310011,149237.0,1746,0.025859732053135076,0.025859732053135076,149095.76371162664,141.23628837335855,6.460445426450351,1.0009472857233324,0.000946837331359411
Manhattan,36,061,1634989,104892.0,1170,-0.11637684677921456,0.11637684677921456,105527.60727767476,-635.6072776747606,6.4154560061260355,0.9939768626042824,-0.0060413496545439135
Bronx,36,005,1436785,91493.0,1154,-0.22737981286108067,0.22737981286108067,92734.86440731646,-1241.8644073164614,6.367897771761259,0.9866084410080995,-0.01348203456523731
Brooklyn,36,047,2606852,159200.0,2085,-1.6579053096744332,1.6579053096744332,168254.86537647716,-9054.865376477159,6.1069826748891,0.9461836342371642,-0.0553186122386626
